,USAState,TotalCases,NewCases,TotalDeaths,NewDeaths,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Source
0,USA Total,560433,133.0,22115.0,10.0,505684,1693.0,67.0,2833112.0,8559.0,
1,New York,189415,,9385.0,,162941,9655.0,478.0,461601.0,23529.0,[1] [2] [3] [4] [5] [6]
2,New Jersey,61850,,2350.0,,58818,6964.0,265.0,126735.0,14269.0,[1] [2]
3,Massachusetts,25475,,756.0,,23990,3730.0,111.0,116730.0,17090.0,[1] [2]
4,Michigan,24638,,1487.0,,22708,2474.0,149.0,76014.0,7634.0,[1] [2] [3]
5,California,23287,110.0,681.0,7.0,21666,595.0,17.0,203400.0,5196.0,[1] [2] [3]
6,Pennsylvania,22920,,561.0,,21709,1792.0,44.0,124890.0,9764.0,[1] [2] [3] [4]
7,Illinois,20852,,720.0,,20082,1626.0,56.0,100735.0,7857.0,[1] [2] [3] [4]
8,Louisiana,20595,,840.0,,19705,4416.0,180.0,104045.0,22310.0,[1]
9,Florida,19895,,461.0,,19254,966.0,22.0,185520.0,9007.0,[1] [2]
10,Texas,13640,,278.0,,11348,489.0,10.0,124553.0,4467.0,[1] [2] [3] [4] [5] [6] [7] [8]
11,Georgia,12550,,442.0,,12077,1219.0,43.0,54453.0,5288.0,[1] [2] [3]
12,Connecticut,12035,,554.0,,11431,3360.0,155.0,41220.0,11509.0,[1] [2]
13,Washington,10530,,508.0,3.0,8697,1444.0,70.0,92999.0,12749.0,[1] [2] [3] [4] [5] [6] [7] [8] [9] [10] [11] [12] [13] [14]
14,Maryland,8225,,235.0,,7534,1370.0,39.0,47238.0,7868.0,[1]
15,Indiana,7928,,343.0,,7571,1194.0,52.0,42489.0,6401.0,[1] [2]
16,Colorado,7303,,290.0,,6973,1320.0,52.0,37153.0,6717.0,[1]
17,Ohio,6604,,253.0,,6351,567.0,22.0,63243.0,5432.0,[1]
18,Tennessee,5308,,101.0,,3703,798.0,15.0,70747.0,10637.0,[1] [2] [3]
19,Virginia,5274,,141.0,,5131,627.0,17.0,39985.0,4752.0,[1]
20,North Carolina,4582,,90.0,,4406,451.0,9.0,62139.0,6119.0,[1] [2] [3]
21,Missouri,4160,,116.0,,3860,683.0,19.0,45064.0,7400.0,[1] [2] [3] [4] [5] [6] [7]
22,Alabama,3583,,93.0,,3470,737.0,19.0,20605.0,4236.0,[1]
23,Arizona,3539,,115.0,,3384,509.0,17.0,42109.0,6062.0,[1]
24,Wisconsin,3341,,144.0,,3132,578.0,25.0,39257.0,6794.0,[1] [2] [3] [4] [5] [6]
25,South Carolina,3319,,82.0,,3237,670.0,17.0,31426.0,6341.0,[1] [2]
26,Nevada,2836,,112.0,,2474,970.0,38.0,29579.0,10120.0,[1] [2]
27,Mississippi,2781,,96.0,,2685,930.0,32.0,21101.0,7060.0,[1]
28,Rhode Island,2665,,63.0,,2592,2522.0,60.0,20350.0,19260.0,[1] [2]
29,Utah,2303,,18.0,,2259,756.0,6.0,44234.0,14525.0,[1]
30,Oklahoma,1970,,96.0,,1352,503.0,25.0,22511.0,5745.0,[1] [2]
31,Kentucky,1963,,97.0,,1560,442.0,22.0,25866.0,5825.0,[1]
32,District Of Columbia,1875,,50.0,,1332,2739.0,73.0,10640.0,15544.0,[1]
33,Delaware,1625,,35.0,,1377,1711.0,37.0,11820.0,12449.0,[1]
34,Minnesota,1621,,70.0,,709,293.0,13.0,37421.0,6770.0,[1] [2]
35,Iowa,1587,,41.0,,872,507.0,13.0,17592.0,5616.0,[1] [2] [3] [4] [5] [6] [7]
36,Oregon,1527,,52.0,,1475,374.0,13.0,29758.0,7290.0,[1] [2]
37,Idaho,1426,,27.0,,1399,845.0,16.0,14881.0,8817.0,[1] [2] [3]
38,Kansas,1337,,56.0,,1153,460.0,19.0,13253.0,4556.0,[1] [2] [3] [4] [5] [6] [7]
39,Arkansas,1280,,27.0,,886,428.0,9.0,19722.0,6595.0,[1] [2]
40,New Mexico,1245,,26.0,,1048,595.0,12.0,30515.0,14583.0,[1]
41,New Hampshire,985,,23.0,,726,733.0,17.0,10925.0,8131.0,[1]
42,Nebraska,814,23.0,17.0,,797,427.0,9.0,10991.0,5770.0,[1] [2]
43,South Dakota,730,,6.0,,528,845.0,7.0,8553.0,9896.0,[1] [2]
44,Vermont,727,,27.0,,700,1163.0,43.0,9841.0,15746.0,[1]
45,Maine,633,,19.0,,348,475.0,14.0,12168.0,9130.0,[1] [2]
46,West Virginia,611,,8.0,,520,334.0,4.0,16257.0,8888.0,[1]
47,Hawaii,499,,9.0,,180,351.0,6.0,18827.0,13240.0,[1] [2]
48,Montana,387,,6.0,,212,371.0,6.0,8913.0,8556.0,[1] [2] [3]
49,North Dakota,308,,8.0,,179,409.0,11.0,10350.0,13760.0,[1]
50,Alaska,272,,8.0,,198,368.0,11.0,8038.0,10884.0,[1]
51,Wyoming,270,,,,133,464.0,,5614.0,9649.0,[1] [2]
52,Guam,133,,5.0,,70,,,605.0,,[1]
53,Northern Mariana Islands,11,,2.0,,9,,,45.0,,[1]
54,Puerto Rico,897,,44.0,,849,265.0,13.0,7973.0,2354.0,[1] [2] [3]
55,United States Virgin Islands,51,,1.0,,7,,,370.0,,[1]
56,US Military,3366,,13.0,,3054,,,,,[1]
57,Navajo Nation,698,,24.0,,674,,,,,[1]
58,Grand Princess Ship,103,,3.0,,100,,,,,[1]
59,Wuhan Repatriated,3,,,,3,,,3.0,,
60,Diamond Princess Ship,46,,,,46,,,46.0,,
61,Total:,560433,133.0,22115.0,10.0,505684,1693.0,67.0,2833112.0,8559.0,
